week,adoption
9/29/14,1
10/6/14,27
10/13/14,49
10/20/14,43
10/27/14,101
11/3/14,127
11/10/14,68
11/17/14,80
11/24/14,91
12/1/14,76
12/8/14,69
12/15/14,69
12/22/14,18
12/29/14,210
1/5/15,58
1/12/15,72
1/19/15,53
1/26/15,113
2/2/15,59
2/9/15,66
2/16/15,71
2/23/15,144
3/2/15,124
3/9/15,92
3/16/15,76
3/23/15,75
3/30/15,185
4/6/15,76
4/13/15,115
4/20/15,75
4/27/15,251
5/4/15,91
5/11/15,89
5/18/15,99
5/25/15,107
6/1/15,274
6/8/15,111
6/15/15,113
6/22/15,133
6/29/15,319
7/6/15,179
7/13/15,144
7/20/15,142
7/27/15,206
8/3/15,118
8/10/15,123
8/17/15,164
8/24/15,148
8/31/15,199
9/7/15,111
9/14/15,139
9/21/15,358
9/28/15,402
10/5/15,182
10/12/15,174
10/19/15,449
10/26/15,284
11/2/15,224
11/9/15,748
11/16/15,371
11/23/15,228
11/30/15,413
12/7/15,451
12/14/15,293
12/21/15,144
12/28/15,59
1/4/16,184
1/11/16,227
1/18/16,230
1/25/16,261
2/1/16,246
2/8/16,240
2/15/16,198
2/22/16,293
2/29/16,238
3/7/16,221
3/14/16,274
3/21/16,644
3/28/16,272
4/4/16,236
4/11/16,421
4/18/16,595
4/25/16,811
5/2/16,255
5/9/16,345
5/16/16,621
5/23/16,620
5/30/16,935
6/6/16,621
6/13/16,961
6/20/16,963
6/27/16,625
7/4/16,342
7/11/16,698
7/18/16,515
7/25/16,452
8/1/16,526
8/8/16,451
8/15/16,558
8/22/16,703
8/29/16,564
9/5/16,561
9/12/16,499
9/19/16,509
9/26/16,513
10/3/16,424
10/10/16,341
10/17/16,654
10/24/16,601
10/31/16,484
11/7/16,637
11/14/16,912
11/21/16,834
11/28/16,1017
12/5/16,922
12/12/16,983
12/19/16,1006
12/26/16,1260
1/2/17,584
1/9/17,839
1/16/17,749
1/23/17,605
1/30/17,528
2/6/17,772
2/13/17,618
2/20/17,951
2/27/17,736
3/6/17,912
3/13/17,756
3/20/17,768
3/27/17,716
4/3/17,688
4/10/17,625
4/17/17,872
4/24/17,743
5/1/17,598
5/8/17,1065
5/15/17,786
5/22/17,827
5/29/17,655
6/5/17,649
6/12/17,642
6/19/17,691
6/26/17,717
7/3/17,614
7/10/17,798
7/17/17,612
7/24/17,773
7/31/17,602
8/7/17,668
8/14/17,673
8/21/17,764
8/28/17,572
9/4/17,705
9/11/17,760
9/18/17,867
9/25/17,994
10/2/17,633
10/9/17,1008
10/16/17,789
10/23/17,831
10/30/17,708
11/6/17,927
11/13/17,809
11/20/17,628
11/27/17,731
12/4/17,1004
12/11/17,1192
12/18/17,1100
12/25/17,549
1/1/18,402
1/8/18,676
1/15/18,653
1/22/18,727
1/29/18,699
2/5/18,752
2/12/18,623
2/19/18,600
2/26/18,548
3/5/18,683
3/12/18,663
3/19/18,629
3/26/18,576
4/2/18,602
4/9/18,690
4/16/18,668
4/23/18,674
4/30/18,572
5/7/18,635
5/14/18,593
5/21/18,630
5/28/18,572
